 C C Insel 1
           0   3.47660000000000        7.33070000000000       0.000000000000000E+000
           1   3.51560000000000        7.36000000000000       0.000000000000000E+000
           2   3.55470000000000        7.38930000000000       0.000000000000000E+000
           3   3.63280000000000        7.44790000000000       0.000000000000000E+000
           4   3.69140000000000        7.42510000000000       0.000000000000000E+000
           5   3.75000000000000        7.40230000000000       0.000000000000000E+000
           6   3.80860000000000        7.37960000000000       0.000000000000000E+000
           7   3.86720000000000        7.35680000000000       0.000000000000000E+000
           8   3.89320000000000        7.33070000000000       0.000000000000000E+000
           9   3.95830000000000        7.33720000000000       0.000000000000000E+000
          10   4.02340000000000        7.34380000000000       0.000000000000000E+000
          11   4.04950000000000        7.30790000000000       0.000000000000000E+000
          12   4.07550000000000        7.27210000000000       0.000000000000000E+000
          13   4.10160000000000        7.23630000000000       0.000000000000000E+000
          14   4.12760000000000        7.20050000000000       0.000000000000000E+000
          15   4.10160000000000        7.13540000000000       0.000000000000000E+000
          16   4.07550000000000        7.07030000000000       0.000000000000000E+000
          17   4.04950000000000        7.00520000000000       0.000000000000000E+000
          18   4.02340000000000        6.94010000000000       0.000000000000000E+000
          19   3.93880000000000        6.95310000000000       0.000000000000000E+000
          20   3.85420000000000        6.96610000000000       0.000000000000000E+000
          21   3.81020000000000        6.91730000000000       0.000000000000000E+000
          22   3.76630000000000        6.86850000000000       0.000000000000000E+000
          23   3.72230000000000        6.81970000000000       0.000000000000000E+000
          24   3.67840000000000        6.77080000000000       0.000000000000000E+000
          25   3.63440000000000        6.72200000000000       0.000000000000000E+000
          26   3.59050000000000        6.67320000000000       0.000000000000000E+000
          27   3.54650000000000        6.62430000000000       0.000000000000000E+000
          28   3.50260000000000        6.57550000000000       0.000000000000000E+000
          29   3.41470000000000        6.57880000000000       0.000000000000000E+000
          30   3.32680000000000        6.58200000000000       0.000000000000000E+000
          31   3.23890000000000        6.58530000000000       0.000000000000000E+000
          32   3.15100000000000        6.58850000000000       0.000000000000000E+000
          33   3.11200000000000        6.62110000000000       0.000000000000000E+000
          34   3.07290000000000        6.65360000000000       0.000000000000000E+000
          35   2.99480000000000        6.71880000000000       0.000000000000000E+000
          36   2.98830000000000        6.76430000000000       0.000000000000000E+000
          37   2.98180000000000        6.80990000000000       0.000000000000000E+000
          38   2.96880000000000        6.90100000000000       0.000000000000000E+000
          39   2.95570000000000        6.99220000000000       0.000000000000000E+000
          40   2.94270000000000        7.08330000000000       0.000000000000000E+000
          41   2.96870000000000        7.13220000000000       0.000000000000000E+000
          42   2.99480000000000        7.18100000000000       0.000000000000000E+000
          43   3.04690000000000        7.27860000000000       0.000000000000000E+000
          44   3.11520000000000        7.27860000000000       0.000000000000000E+000
          45   3.18360000000000        7.27860000000000       0.000000000000000E+000
          46   3.25200000000000        7.27860000000000       0.000000000000000E+000
          47   3.32030000000000        7.27860000000000       0.000000000000000E+000
          48   3.39840000000000        7.30470000000000       0.000000000000000E+000
  -1 
 C C Insel 2
           0   4.63870000000000        7.00520000000000       0.000000000000000E+000
           1   4.64840000000000        7.05730000000000       0.000000000000000E+000
           2   4.69080000000000        7.09960000000000       0.000000000000000E+000
           3   4.73310000000000        7.14190000000000       0.000000000000000E+000
           4   4.77540000000000        7.18420000000000       0.000000000000000E+000
           5   4.81770000000000        7.22660000000000       0.000000000000000E+000
           6   4.92840000000000        7.22660000000000       0.000000000000000E+000
