             IP         XP(IP)  SQRT(8.*ETOT)       ETOT(IP)   WN(IP,ISBIN)1./(SPSIG(ISBIN       RSXX(IP)
         3         0.1250         0.0000         0.0000         0.9926         1.5004         0.0000
         4         0.0000         0.0000         0.0000         0.9994         1.5004         0.0000
         8         0.2500         0.0000         0.0000         0.9852         1.5004         0.0000
        11         0.3750         0.0000         0.0000         0.9778         1.5004         0.0000
        14         0.5000         0.0000         0.0000         0.9706         1.5004         0.0000
        17         0.6250         0.0000         0.0000         0.9633         1.5004         0.0000
        20         0.7500         0.0000         0.0000         0.9561         1.5004         0.0000
        23         0.8750         0.0000         0.0000         0.9490         1.5004         0.0000
        26         1.0000         0.0000         0.0000         0.9419         1.5004         0.0000
        29         1.1250         0.0000         0.0000         0.9348         1.5004         0.0000
        32         1.2500         0.0000         0.0000         0.9278         1.5004         0.0000
        35         1.3750         0.0000         0.0000         0.9209         1.5004         0.0000
        38         1.5000         0.0000         0.0000         0.9140         1.5004         0.0000
        41         1.6250         0.0000         0.0000         0.9072         1.5004         0.0000
        44         1.7500         0.0000         0.0000         0.9005         1.5004         0.0000
        47         1.8750         0.0000         0.0000         0.8926         1.5004         0.0000
        50         2.0000         0.0000         0.0000         0.8628         1.5004         0.0000
        53         2.1250         0.0000         0.0000         0.7039         1.5004         0.0000
        56         2.2500         0.0000         0.0000         0.7202         1.5004         0.0000
        59         2.3750         0.0000         0.0000         0.8258         1.5004         0.0000
        62         2.5000         0.0000         0.0000         0.8081         1.5004         0.0000
        65         2.6250         0.0000         0.0000         0.8191         1.5004         0.0000
        68         2.7500         0.0000         0.0000         0.8139         1.5004         0.0000
        71         2.8750         0.0000         0.0000         0.6971         1.5004         0.0000
        74         3.0000         0.0000         0.0000         0.9994         1.5004         0.0000
        77         3.1250         0.0000         0.0000         0.5000         1.5004         0.0000
        80         3.2500         0.0000         0.0000         0.9994         1.5004         0.0000
        83         3.3750         0.0000         0.0000         0.9994         1.5004         0.0000
        86         3.5000         0.0000         0.0000         0.5000         1.5004         0.0000
        89         3.6250         0.0000         0.0000         0.5000         1.5004         0.0000
        92         3.7500         0.0000         0.0000         0.5000         1.5004         0.0000
        95         3.8750         0.0000         0.0000         0.5000         1.5004         0.0000
        98         4.0000         0.0000         0.0000         0.5000         1.5004         0.0000
       101         4.1250         0.0000         0.0000         0.5000         1.5004         0.0000
       104         4.2500         0.0028         0.0000         0.5000         1.5004         0.0020
       107         4.3750         0.0065         0.0000         0.5000         1.5004        -0.0095
       110         4.5000         0.0000         0.0000         0.5000         1.5004         0.0000
       112         4.6250         0.0003         0.0000         0.5000         1.5004         0.0000
       115         4.7500         0.0004         0.0000         0.9994         1.5004         0.0000
       119         4.5000         0.0000         0.0000         0.5000         1.5004         0.0000
