C created from parVisu 
C Anzahl der Randknoten:
       0       
C Anzahl der Gebietsknoten:
     827       
C Koordinaten und Skalarwerte der Knoten
C --------------------------------------
C Zuerst die Randknoten  (Anzahl s.o.),
C dann die Gebietsknoten (Anzahl s.o.)
C ------------+-------------+-------------+------------------
C     Nr.     |  x-Koord.   |   y-Koord.  |   Skalarwert
C ------------+-------------+-------------+------------------
       0        1.00000000000000 0.218800000000000 1000.00000000000       
       1        1.00000000000000 0.250000000000000 1000.00000000000       
       2        1.00000000000000 0.281200000000000 1000.00000000000       
       3        1.00000000000000 0.312500000000000 1000.00000000000       
       4        1.00000000000000 0.343800000000000 1000.00000000000       
       5        1.00000000000000 0.375000000000000 1000.00000000000       
       6        1.00000000000000 0.406200000000000 1000.00000000000       
       7        1.00000000000000 0.437500000000000 1000.00000000000       
       8        1.00000000000000 0.468800000000000 1000.00000000000       
       9        1.00000000000000 0.500000000000000 1000.00000000000       
      10        1.00000000000000 0.531200000000000 1000.00000000000       
      11        1.00000000000000 0.562500000000000 1000.00000000000       
      12        1.00000000000000 0.593800000000000 1000.00000000000       
      13        1.00000000000000 0.625000000000000 1000.00000000000       
      14        1.00000000000000 0.656200000000000 1000.00000000000       
      15        1.00000000000000 0.687500000000000 1000.00000000000       
      16        1.00000000000000 0.718800000000000 1000.00000000000       
      17        1.00000000000000 0.750000000000000 1000.00000000000       
      18        1.00000000000000 0.781200000000000 1000.00000000000       
      19        1.00000000000000 0.812500000000000 1000.00000000000       
      20        1.00000000000000 0.843800000000000 1000.00000000000       
      21        1.00000000000000 0.875000000000000 1000.00000000000       
      22        1.00000000000000 0.906200000000000 1000.00000000000       
      23        1.00000000000000 0.937500000000000 1000.00000000000       
      24        1.00000000000000 0.968800000000000 1000.00000000000       
      25        1.00000000000000 1.00000000000000 1000.00000000000       
      26        0.968700000000000 1.00000000000000 1000.00000000000       
      27        0.937500000000000 1.00000000000000 1000.00000000000       
      28        0.906200000000000 1.00000000000000 1000.00000000000       
      29        0.875000000000000 1.00000000000000 1000.00000000000       
      30        0.843800000000000 1.00000000000000 1000.00000000000       
      31        0.812500000000000 1.00000000000000 1000.00000000000       
      32        0.781200000000000 1.00000000000000 1000.00000000000       
      33        0.750000000000000 1.00000000000000 1000.00000000000       
      34        0.718800000000000 1.00000000000000 1000.00000000000       
      35        0.687500000000000 1.00000000000000 1000.00000000000       
      36        0.656200000000000 1.00000000000000 1000.00000000000       
      37        0.625000000000000 1.00000000000000 1000.00000000000       
      38        0.593800000000000 1.00000000000000 1000.00000000000       
      39        0.562500000000000 1.00000000000000 1000.00000000000       
      40        0.531200000000000 1.00000000000000 1000.00000000000       
      41        0.500000000000000 1.00000000000000 1000.00000000000       
      42        0.468800000000000 1.00000000000000 1000.00000000000       
      43        0.437500000000000 1.00000000000000 1000.00000000000       
      44        0.406200000000000 1.00000000000000 1000.00000000000       
      45        0.375000000000000 1.00000000000000 1000.00000000000       
      46        0.343800000000000 1.00000000000000 1000.00000000000       
      47        0.312500000000000 1.00000000000000 1000.00000000000       
      48        0.281200000000000 1.00000000000000 1000.00000000000       
      49        0.250000000000000 1.00000000000000 1000.00000000000       
      50        0.218800000000000 1.00000000000000 1000.00000000000       
      51        0.187500000000000 1.00000000000000 1000.00000000000       
      52        0.156200000000000 1.00000000000000 1000.00000000000       
      53        0.125000000000000 1.00000000000000 1000.00000000000       
      54        0.0938000000000000 1.00000000000000 1000.00000000000       
      55        0.0625000000000000 1.00000000000000 1000.00000000000       
      56        0.0313000000000000 1.00000000000000 1000.00000000000       
      57        0.00000000000000 1.00000000000000 1000.00000000000       
      58        0.00000000000000 0.968800000000000 1000.00000000000       
      59        0.00000000000000 0.937500000000000 1000.00000000000       
      60        0.00000000000000 0.906200000000000 1000.00000000000       
      61        0.00000000000000 0.875000000000000 1000.00000000000       
      62        0.00000000000000 0.843800000000000 1000.00000000000       
      63        0.00000000000000 0.812500000000000 1000.00000000000       
      64        0.00000000000000 0.781200000000000 1000.00000000000       
      65        0.00000000000000 0.750000000000000 1000.00000000000       
      66        0.00000000000000 0.718800000000000 1000.00000000000       
      67        0.00000000000000 0.687500000000000 1000.00000000000       
      68        0.00000000000000 0.656200000000000 1000.00000000000       
      69        0.00000000000000 0.625000000000000 1000.00000000000       
      70        0.00000000000000 0.593800000000000 1000.00000000000       
      71        0.00000000000000 0.562500000000000 1000.00000000000       
      72        0.00000000000000 0.531200000000000 1000.00000000000       
      73        0.00000000000000 0.500000000000000 1000.00000000000       
      74        0.00000000000000 0.468800000000000 1000.00000000000       
      75        0.00000000000000 0.437500000000000 1000.00000000000       
      76        0.00000000000000 0.406200000000000 1000.00000000000       
      77        0.00000000000000 0.375000000000000 1000.00000000000       
      78        0.00000000000000 0.343800000000000 1000.00000000000       
      79        0.00000000000000 0.312500000000000 1000.00000000000       
      80        0.00000000000000 0.281200000000000 1000.00000000000       
      81        0.00000000000000 0.250000000000000 1000.00000000000       
      82        0.00000000000000 0.218800000000000 1000.00000000000       
      83        0.00000000000000 0.187500000000000 1000.00000000000       
      84        0.00000000000000 0.156200000000000 1000.00000000000       
      85        0.00000000000000 0.125000000000000 1000.00000000000       
      86        0.00000000000000 0.0938000000000000 1000.00000000000       
      87        0.00000000000000 0.0625000000000000 1000.00000000000       
      88        0.00000000000000 0.0312000000000000 1000.00000000000       
      89        0.00000000000000 0.00000000000000 1000.00000000000       
      90        0.0313000000000000 0.00000000000000 1000.00000000000       
      91        0.0625000000000000 0.00000000000000 1000.00000000000       
      92        0.0938000000000000 0.00000000000000 1000.00000000000       
      93        0.125000000000000 0.00000000000000 1000.00000000000       
      94        0.156200000000000 0.00000000000000 1000.00000000000       
      95        0.187500000000000 0.00000000000000 1000.00000000000       
      96        0.218800000000000 0.00000000000000 1000.00000000000       
      97        0.250000000000000 0.00000000000000 1000.00000000000       
      98        0.281200000000000 0.00000000000000 1000.00000000000       
      99        0.312500000000000 0.00000000000000 1000.00000000000       
     100        0.343800000000000 0.00000000000000 1000.00000000000       
     101        0.375000000000000 0.00000000000000 1000.00000000000       
     102        0.406200000000000 0.00000000000000 1000.00000000000       
     103        0.437500000000000 0.00000000000000 1000.00000000000       
     104        0.468800000000000 0.00000000000000 1000.00000000000       
     105        0.500000000000000 0.00000000000000 1000.00000000000       
     106        0.531200000000000 0.00000000000000 1000.00000000000       
     107        0.562500000000000 0.00000000000000 1000.00000000000       
     108        0.593800000000000 0.00000000000000 1000.00000000000       
     109        0.625000000000000 0.00000000000000 1000.00000000000       
     110        0.656200000000000 0.00000000000000 1000.00000000000       
     111        0.687500000000000 0.00000000000000 1000.00000000000       
     112        0.718800000000000 0.00000000000000 1000.00000000000       
     113        0.750000000000000 0.00000000000000 1000.00000000000       
     114        0.781200000000000 0.00000000000000 1000.00000000000       
     115        0.812500000000000 0.00000000000000 1000.00000000000       
     116        0.843800000000000 0.00000000000000 1000.00000000000       
     117        0.875000000000000 0.00000000000000 1000.00000000000       
     118        0.906200000000000 0.00000000000000 1000.00000000000       
     119        0.937500000000000 0.00000000000000 1000.00000000000       
     120        0.968700000000000 0.00000000000000 1000.00000000000       
     121        1.00000000000000 0.00000000000000 1000.00000000000       
     122        1.00000000000000 0.0312000000000000 1000.00000000000       
     123        1.00000000000000 0.0625000000000000 1000.00000000000       
     124        1.00000000000000 0.0938000000000000 1000.00000000000       
     125        1.00000000000000 0.125000000000000 1000.00000000000       
     126        1.00000000000000 0.156200000000000 1000.00000000000       
     127        1.00000000000000 0.187500000000000 1000.00000000000       
     128        0.442700000000000 0.602900000000000 10.0000000000000       
     129        0.476600000000000 0.599000000000000 10.0000000000000       
     130        0.501300000000000 0.609400000000000 10.0000000000000       
     131        0.511700000000000 0.631500000000000 10.0000000000000       
     132        0.552100000000000 0.638000000000000 10.0000000000000       
     133        0.567700000000000 0.617200000000000 10.0000000000000       
     134        0.613300000000000 0.599000000000000 10.0000000000000       
     135        0.622400000000000 0.578100000000000 10.0000000000000       
     136        0.622400000000000 0.553400000000000 10.0000000000000       
     137        0.615900000000000 0.516900000000000 10.0000000000000       
     138        0.593100000000000 0.487600000000000 10.0000000000000       
     139        0.570300000000000 0.458300000000000 10.0000000000000       
     140        0.540400000000000 0.462900000000000 10.0000000000000       
     141        0.510400000000000 0.467400000000000 10.0000000000000       
     142        0.476600000000000 0.447900000000000 10.0000000000000       
     143        0.448600000000000 0.455700000000000 10.0000000000000       
     144        0.420600000000000 0.463500000000000 10.0000000000000       
     145        0.391900000000000 0.493500000000000 10.0000000000000       
     146        0.378900000000000 0.528600000000000 10.0000000000000       
     147        0.320400000000000 0.579500000000000 1000.00000000000       
     148        0.341500000000000 0.544700000000000 1000.00000000000       
     149        0.731300000000000 0.638000000000000 1000.00000000000       
     150        0.700100000000000 0.565700000000000 1000.00000000000       
     151        0.140600000000000 0.140600000000000 1000.00000000000       
     152        0.359400000000000 0.169400000000000 1000.00000000000       
     153        0.140600000000000 0.859400000000000 1000.00000000000       
     154        0.390600000000000 0.830600000000000 1000.00000000000       
     155        0.640600000000000 0.169400000000000 1000.00000000000       
     156        0.536300000000000 0.337000000000000 1000.00000000000       
     157        0.890600000000000 0.109400000000000 1000.00000000000       
     158        0.609400000000000 0.830600000000000 1000.00000000000       
     159        0.890600000000000 0.890600000000000 1000.00000000000       
     160        0.165700000000000 0.640600000000000 1000.00000000000       
     161        0.169400000000000 0.390600000000000 1000.00000000000       
     162        0.864600000000000 0.609400000000000 1000.00000000000       
     163        0.830600000000000 0.359400000000000 1000.00000000000       
     164        0.100700000000000 0.234400000000000 1000.00000000000       
     165        0.234400000000000 0.100700000000000 1000.00000000000       
     166        0.484400000000000 0.130100000000000 1000.00000000000       
     167        0.100700000000000 0.765600000000000 1000.00000000000       
     168        0.265600000000000 0.875000000000000 1000.00000000000       
     169        0.484400000000000 0.890100000000000 1000.00000000000       
     170        0.734400000000000 0.109900000000000 1000.00000000000       
     171        0.435400000000000 0.354200000000000 1000.00000000000       
     172        0.875000000000000 0.234400000000000 1000.00000000000       
     173        0.734400000000000 0.869900000000000 1000.00000000000       
     174        0.875000000000000 0.765600000000000 1000.00000000000       
     175        0.129300000000000 0.515600000000000 1000.00000000000       
     176        0.875500000000000 0.484400000000000 1000.00000000000       
     177        0.710000000000000 0.420100000000000 1000.00000000000       
     178        0.369500000000000 0.706000000000000 1000.00000000000       
     179        0.512600000000000 0.754600000000000 1000.00000000000       
     180        0.317800000000000 0.393900000000000 1000.00000000000       
     181        0.361600000000000 0.539700000000000 1000.00000000000       
     182        0.359800000000000 0.575500000000000 1000.00000000000       
     183        0.339100000000000 0.491900000000000 1000.00000000000       
     184        0.476100000000000 0.634800000000000 1000.00000000000       
     185        0.660300000000000 0.565700000000000 1000.00000000000       
     186        0.614700000000000 0.668700000000000 1000.00000000000       
     187        0.651500000000000 0.603200000000000 1000.00000000000       
     188        0.0729000000000000 0.109400000000000 1000.00000000000       
     189        0.0469000000000000 0.0469000000000000 1000.00000000000       
     190        0.0492000000000000 0.234400000000000 1000.00000000000       
     191        0.234400000000000 0.0492000000000000 1000.00000000000       
     192        0.359400000000000 0.0840000000000000 1000.00000000000       
     193        0.484400000000000 0.0641000000000000 1000.00000000000       
     194        0.420200000000000 0.407800000000000 1000.00000000000       
     195        0.140600000000000 0.0694000000000000 1000.00000000000       
     196        0.0637000000000000 0.515600000000000 1000.00000000000       
     197        0.0540000000000000 0.734400000000000 1000.00000000000       
     198        0.0821000000000000 0.640600000000000 1000.00000000000       
     199        0.0694000000000000 0.859400000000000 1000.00000000000       
     200        0.765600000000000 0.0583000000000000 1000.00000000000       
     201        0.934600000000000 0.265600000000000 1000.00000000000       
     202        0.0469000000000000 0.953100000000000 1000.00000000000       
     203        0.140600000000000 0.930600000000000 1000.00000000000       
     204        0.0840000000000000 0.390600000000000 1000.00000000000       
     205        0.938500000000000 0.765600000000000 1000.00000000000       
     206        0.934800000000000 0.515600000000000 1000.00000000000       
     207        0.265600000000000 0.938500000000000 1000.00000000000       
     208        0.390600000000000 0.916000000000000 1000.00000000000       
     209        0.640600000000000 0.0840000000000000 1000.00000000000       
     210        0.546000000000000 0.399700000000000 1000.00000000000       
     211        0.859400000000000 0.0580000000000000 1000.00000000000       
     212        0.946400000000000 0.109400000000000 1000.00000000000       
     213        0.916000000000000 0.359400000000000 1000.00000000000       
     214        0.953100000000000 0.0469000000000000 1000.00000000000       
     215        0.515600000000000 0.941700000000000 1000.00000000000       
     216        0.734400000000000 0.935900000000000 1000.00000000000       
     217        0.640600000000000 0.916000000000000 1000.00000000000       
     218        0.929600000000000 0.640600000000000 1000.00000000000       
     219        0.942000000000000 0.859400000000000 1000.00000000000       
     220        0.890600000000000 0.946400000000000 1000.00000000000       
     221        0.953100000000000 0.953100000000000 1000.00000000000       
     222        0.0415000000000000 0.140600000000000 1000.00000000000       
     223        0.359400000000000 0.0405000000000000 1000.00000000000       
     224        0.140600000000000 0.0330000000000000 1000.00000000000       
     225        0.0396000000000000 0.640600000000000 1000.00000000000       
     226        0.0330000000000000 0.859400000000000 1000.00000000000       
     227        0.961700000000000 0.234400000000000 1000.00000000000       
     228        0.140600000000000 0.967000000000000 1000.00000000000       
     229        0.0405000000000000 0.390600000000000 1000.00000000000       
     230        0.961800000000000 0.484400000000000 1000.00000000000       
     231        0.390600000000000 0.959500000000000 1000.00000000000       
     232        0.640600000000000 0.0405000000000000 1000.00000000000       
     233        0.959500000000000 0.359400000000000 1000.00000000000       
     234        0.640600000000000 0.959400000000000 1000.00000000000       
