SWAN   1                                Swan standard spectral file, version
$   Data produced by SWAN version 40.11               
$   Project: BAR             ;  run number: 1   
LOCATIONS                               locations in x-y-space
     1                                  number of locations
       6.00        0.00
AFREQ                                   absolute frequencies in Hz
   51                                  number of frequencies
0.2531 
0.3090 
0.3410 
0.3677 
0.3863 
0.4010 
0.4129 
0.4143 
0.4196 
0.4263 
0.4303 
0.4329 
0.4343 
0.4396 
0.4451 
0.4592 
0.4741 
0.4898 
0.5035 
0.5115 
0.5180 
0.5248 
0.5288 
0.5355 
0.5421 
0.5488 
0.5728 
0.5861 
0.6087 
0.6554 
0.7007 
0.7473 
0.7673 
0.7806 
0.8085 
0.8312 
0.8738 
0.9151 
0.9431 
0.9804 
1.0283 
1.0736 
1.1269 
1.1722 
1.2148 
1.2681 
1.3200 
1.3720 
1.4253 
1.4732 
1.5398 
QUANT
     3                                  number of quantities in table
VaDens                                  variance densities in m2/Hz
m2/Hz                                   unit
   -0.9900E+02                          exception value
CDIR                                    average Cartesian direction in degr
degr                                    unit
   -0.9990E+03                          exception value
DSPRDEGR                                directional spreading                   
degr                                    unit
   -0.9000E+01                          exception value
LOCATION   1
1.1106E-006	0	3
2.6426E-006	0	3
4.8511E-006	0	3
9.0894E-006	0	3
1.8089E-005	0	3
2.5647E-005	0	3
2.9043E-005	0	3
3.6345E-005	0	3
4.4157E-005	0	3
5.7753E-005	0	3
6.3434E-005	0	3
6.8872E-005	0	3
7.4132E-005	0	3
7.957E-005	0	3
8.4766E-005	0	3
9.0255E-005	0	3
9.5745E-005	0	3
0.00010113	0	3
0.00010106	0	3
9.5617E-005	0	3
9.0153E-005	0	3
8.4919E-005	0	3
7.9149E-005	0	3
7.4132E-005	0	3
6.8872E-005	0	3
6.3102E-005	0	3
5.2226E-005	0	3
4.7055E-005	0	3
4.3826E-005	0	3
4.297E-005	0	3
4.5013E-005	0	3
4.4502E-005	0	3
4.043E-005	0	3
3.6345E-005	0	3
3.0919E-005	0	3
2.5826E-005	0	3
2.2596E-005	0	3
2.0809E-005	0	3
2.1319E-005	0	3
2.4383E-005	0	3
2.234E-005	0	3
1.7591E-005	0	3
1.4694E-005	0	3
1.1809E-005	0	3
9.0894E-006	0	3
7.9021E-006	0	3
7.3915E-006	0	3
6.2043E-006	0	3
5.017E-006	0	3
3.1532E-006	0	3
1.1106E-006	0	3
